"12gb -- Prices of Domestic Fuels in Energy Production (VAT not included), 1999Q3-2023Q3"

"Quarter","Domestic fuel","Price (eur/MWh)","Price, year-on-year change (%)"
"2017Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",15.0,-6.4
"2017Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",13.1,-0.2
"2017Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",18.8,-7.8
"2017Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",16.9,-3.4
"2017Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",14.9,-3.0
"2017Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",13.0,-3.4
"2017Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",18.8,-3.3
"2017Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",16.9,-3.7
"2017Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",14.9,-1.7
"2017Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",13.0,-2.0
"2017Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",18.9,0.3
"2017Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",17.0,0.3
"2017Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",14.8,-2.5
"2017Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",12.9,-2.9
"2017Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",18.8,-1.3
"2017Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",16.9,-1.4
"2018Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",14.8,-1.1
"2018Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",12.9,-1.2
"2018Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",18.9,0.3
"2018Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",17.0,0.3
"2018Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",14.6,-2.3
"2018Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",12.7,-2.6
"2018Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",19.6,4.6
"2018Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",17.7,5.2
"2018Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",14.6,-2.5
"2018Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",12.7,-2.8
"2018Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",19.5,2.9
"2018Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",17.6,3.2
"2018Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",15.0,1.5
"2018Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.1,1.7
"2018Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",19.2,1.9
"2018Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",17.3,2.1
"2019Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",16.1,8.6
"2019Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",13.1,1.4
"2019Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",19.8,5.0
"2019Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",16.8,-0.9
"2019Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",16.6,13.5
"2019Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",13.6,6.9
"2019Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",21.3,8.5
"2019Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",18.3,3.2
"2019Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",16.3,12.1
"2019Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",13.3,5.3
"2019Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",21.0,8.0
"2019Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",18.0,2.6
"2019Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",16.3,8.7
"2019Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.3,1.5
"2019Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",21.0,9.7
"2019Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",18.0,4.4
"2020Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",16.3,1.2
"2020Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",13.3,1.5
"2020Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",20.2,2.1
"2020Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",17.2,2.5
